FID,Location,Potential,Latitude,Longitude,Potential Number
1,Pilot Station,Lowest,61.93905,-162.873403,97
2,Anvik,Lowest,62.656644,-160.202947,101
3,Galena,Low,64.733142,-156.913589,228
4,Grayling,Lowest,62.903169,-160.063097,189
5,Holy Cross,Lowest,62.198764,-159.769478,165
6,Kaltag,Low,64.327033,-158.720747,260
7,Koyokuk,Lowest,64.870889,-157.685714,102
8,Marshall,Lowest,61.8765,-162.075136,283
9,Mountain Village,Lowest,62.083044,-163.727678,56
10,Nulato,Lowest,64.719197,-158.064425,110
11,St. Mary's,Lowest,62.049053,-163.143217,119
12,Aniak,Low,61.582786,-159.537561,294
13,Chuathbaluk,Low,61.570028,-159.243622,448
14,Crooked Creek,Low,61.868058,-158.107508,235
15,Upper Kalskag,Lowest,61.537031,-160.314456,184
16,Napaimute,Low,61.534917,-158.739628,446
17,Red Devil ,Low,61.760878,-157.308392,255
18,Sleetmute,Lowest,61.702358,-157.171025,155
19,Stony River,Low,61.788097,-156.588778,400
20,Whitestone,Good,64.156989,-145.862189,898
21,Gakona,Great,62.298847,-145.310708,1493
22,Copper Center,Great,61.95325,-145.2791,1663
23,Chitina,Great,61.526489,-144.410433,1677
24,Talkeetna,Good,62.3482,-150.015869,541
