Location,Latitude,Longitude,Population
Chuathbaluk,61.5746,-159.2489,93
Chitina,61.5276,-144.2991,81
Chistochina,62.5921,-144.8136,42
Chisana,62.0946,-142.034,0
Chiniak,57.5775,-152.2743,0
Chignik Lake,56.2631,-158.8049,40
Chignik Lagoon,56.3041,-158.5004,31
Chignik,56.3003,-158.4132,44
Chicken,64.0878,-141.8285,12
Chickaloon,61.804,-148.4103,188
Chevak,61.5295,-165.5941,777
Chenega,60.0757,-148.0194,55
Chena Ridge,64.7941,-148.0357,5643
Chefornak,60.155,-164.255,375
Chase,62.4624,-149.9371,0
Chalkyitsik,66.6469,-143.7821,110
Central,65.5213,-144.6409,51
Cantwell,63.379,-148.8158,136
Butte,61.5539,-149.0035,3857
Buffalo Soapstone,61.7071,-149.1093,949
Buckland,65.9784,-161.1341,677
Brevig Mission,65.3413,-166.4953,673
Birch Creek,66.2686,-145.8699,3
Big Lake,61.526,-149.9721,2888
Big Delta,64.1486,-145.7453,521
Bettles,66.9088,-151.5362,2
Bethel,60.7928,-161.7917,6273
Beluga,61.1868,-151.1637,3
Beaver,66.383,-147.3219,93
Bear Creek,60.2071,-149.3524,1524
Badger,64.8006,-147.3877,19226
Attu Station,52.8955,173.123,19
Atqasuk,70.481,-157.3835,181
Atmautluak,60.8622,-162.2858,147
Atka,52.2301,-174.2133,38
Arctic Village,68.1421,-145.4956,225
Anvik,62.6541,-160.214,93
Aniak,61.5817,-159.5451,564
Angoon,57.455,-134.4978,501
Anderson,64.3074,-149.1562,191
Anchorage,61.1508,-149.1091,292545
Anchor Point,59.7703,-151.7052,2288
Anaktuvuk Pass,68.15,-151.7162,261
Ambler,67.0897,-157.8725,273
Allakaket,66.5506,-152.627,213
Aleneva,58.059,-152.9091,0
Aleknagik,59.2946,-158.6896,125
Alcan Border,62.6727,-141.1321,170
Alatna,66.5638,-152.8385,41
Alakanuk,62.6902,-164.6305,1065
Akutan,54.1594,-165.7328,700
Akiak,60.9061,-161.2122,293
Akiachak,60.921,-161.4021,469
Akhiok,56.945,-154.215,114
Adak,51.8815,-176.6295,190
Kenny Lake,61.6644,-144.8662,138
Kenai,60.5619,-151.1985,7452
